TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/battleship_success_nobr,	41,	0,	1801.37758207,	1801.84980512,	1800.01031899,	0
ts/battleship_success_nobr,	41,	1,	1800.79645681,	1800.00364399,	1800.06869411,	0
