TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/fail_bidding_nobr,	3,	0,	0.173855066299,	0.208779096603,	0.146857976913,	0
ts/fail_bidding_nobr,	3,	1,	0.207228899002,	0.486405849457,	0.0856339931488,	0
