TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/battleship_success_nobr,	42,	0,	10801.5148721,	10800.0247412,	10800.0322881,	0
ts/battleship_success_nobr,	42,	1,	10802.7875862,	10802.402385,	10800.0666649,	0
