TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/bidding_simple_nobr,	3,	0,	0.129812002182,	0.0997040271759,	0.142179965973,	0
ts/bidding_simple_nobr,	3,	1,	0.194680929184,	0.130815029144,	0.131888866425,	0
