TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/battleship_auto_nobr,	3,	0,	0.15384888649,	0.121841907501,	0.150372982025,	0
ts/battleship_auto_nobr,	3,	1,	0.155579090118,	0.123064994812,	0.139023780823,	0
