TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/battleship_auto_nobr,	1,	0,	0.0432131290436,	0.0430810451508,	0.0531141757965,	0
ts/battleship_auto_nobr,	1,	1,	0.0425260066986,	0.0710020065308,	0.049596786499,	0
