TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/fail_bidding_nobr,	4,	0,	0.175944805145,	0.121263980865,	0.425034046173,	0
ts/fail_bidding_nobr,	4,	1,	0.278464078903,	0.170715093613,	0.28226184845,	0
