TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/battleship_simple_nobr,	24,	0,	139.602398157,	10800.0646849,	7410.79790306,	0
ts/battleship_simple_nobr,	24,	1,	2084.167449,	10800.0222199,	7387.13272214,	0
