TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
s/bidding_newllvm,	10,	0,	0.354714155197,	9.38139414787,	4.71306586266,	0
s/bidding_newllvm,	10,	1,	2.82570791245,	180.001332998,	4.49727678299,	0
