TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/battleship_success_nobr,	41,	0,	10801.109093,	10802.4993119,	10800.067673,	0
ts/battleship_success_nobr,	41,	1,	10802.21065,	10801.473166,	10800.0911472,	0
