TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/battleship_auto_nobr,	4,	0,	0.820256948471,	0.34587097168,	0.268527984619,	0
ts/battleship_auto_nobr,	4,	1,	0.721088171005,	2.79393911362,	0.269000053406,	0
