TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
bidding_game_good,	6,	0,	0.571607112885,	0.436168909073,	1.00040507317,	0
bidding_game_good,	6,	1,	0.432928800583,	0.254981994629,	1.00180792809,	0
