TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/bidding_simple_nobr,	4,	0,	0.177287101746,	0.131305932999,	0.486017942429,	0
ts/bidding_simple_nobr,	4,	1,	0.293416023254,	0.171169042587,	0.285364151001,	0
