TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
bidding_game,	6,	0,	0.510980844498,	1.491106987,	0.728646039963,	0
bidding_game,	6,	1,	0.425837039948,	27.3058030605,	0.728978157043,	0
