TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
bidding_game,	6,	0,	0.540359973907,	0.411487102509,	0.965135097504,	0
bidding_game,	6,	1,	0.406029939651,	0.235799789429,	0.963944911957,	0
