TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
bidding_game,	6,	0,	0.56862783432,	0.434602022171,	0.997552871704,	0
bidding_game,	6,	1,	0.431183099747,	0.25350689888,	0.997174024582,	0
