TestFile,	ConNum,	ParttAlg,	Hybrid,	Early_Accept,	One_Shot,	Early_Reject
ts/fail_bidding_nobr,	4,	0,	0.176945924759,	0.130456924438,	0.287399053574,	0
ts/fail_bidding_nobr,	4,	1,	0.281999111176,	0.171475887299,	0.284233093262,	0
